keys,en,zh
PANEL_PROPERTIES,Properties,属性
PANEL_PROJECT,Project,工程
PANEL_PALETTE,Palette,组件
PANEL_AGENT,Agent,智能体
MAKE_FLOATING,Make Floating,浮动窗口

MAIN_MENU_FILE,File,文件

MAIN_MENU_SETTINGS,Settings,设置
MAIN_MENU_UI_LAYOUT,UI Layout,界面布局
MAIN_MENU_UI_LAYOUT_LOAD,Load,加载
MAIN_MENU_UI_LAYOUT_SAVE,Save,保存
MAIN_MENU_UI_LAYOUT_RESET,Reset,重置

MAIN_MENU_HELP,Help,帮助
